domain,telegram,qq_group,wechat,discord,has_affiliate,affiliate_url,last_checked
worldbase.ai,,,,,无,,2026-06-16T12:33:53Z
packyapi.com,,,,,有,https://packyapi.com/invite,2026-06-16T12:33:53Z
portal.gpteamservices.com,,,,,无,,2026-06-16T12:33:53Z
right.codes,,,,,无,,2026-06-16T12:33:53Z
uuapi.net,,,,,无,,2026-06-16T12:33:53Z
api.tallius.ai,,,,,无,,2026-06-16T12:33:53Z
toknex.ai,,,,,无,,2026-06-16T12:33:53Z
9527code.com,,,,,无,,2026-06-16T12:33:53Z
unity2.ai,,1093411622,_oauth_enabled,,有,https://unity2.ai/invite,2026-06-16T12:33:53Z
lingsuan.top,,951452883,_oauth_enabled,,有,https://lingsuan.top/invite,2026-06-16T12:33:53Z
juxingai.top,,,,,无,,2026-06-16T12:33:53Z
runapi.co,,,,,无,,2026-06-16T12:33:53Z
claudecn.top,,,,,无,,2026-06-16T12:33:53Z
toolcode.top,,77430203,_oauth_enabled,,有,https://toolcode.top/invite,2026-06-16T12:33:53Z
api.xpluse.plus,,,,,,,2026-06-16T12:33:53Z
xyc.ai,,,,,有,https://xyc.ai/invite,2026-06-16T12:33:53Z
coderelay.cn,,,,,无,,2026-06-16T12:33:53Z
modcon.top,,"976235975, 1206320059",_oauth_enabled,,无,,2026-06-16T12:33:53Z
sudocode.chat,,,,,无,,2026-06-16T12:33:53Z
ccgoai.com,,437857640,_oauth_enabled,,有,https://ccgoai.com/invite,2026-06-16T12:33:53Z
dawclaudecode.com,,,,,有,https://dawclaudecode.com/partner,2026-06-16T12:33:53Z
chintao.cn,,,,,无,,2026-06-16T12:33:53Z
api.ykh.ai,,,,,无,,2026-06-16T12:33:53Z
anpin.ai,,,_oauth_enabled,,有,https://anpin.ai/invite,2026-06-16T12:33:53Z
api.muskapi.cc,t.me/muskapi,,,,有,https://api.muskapi.cc/invite,2026-06-16T12:33:53Z
yundu.lat,,751750729,yundu_lat,,有,https://yundu.lat/invite,2026-06-16T12:33:53Z
sevnx.one,,,,,,,2026-06-16T12:33:53Z
aokapi.com,,,,,无,,2026-06-16T12:33:53Z
claude-api.org,t.me/+Lfq1A_3e6BRhNjE5,,,,有,https://claude-api.org/invite,2026-06-16T12:33:53Z
daodunapi.com,,,,,无,,2026-06-16T12:33:53Z
qiuqiutoken.com,,,,,无,,2026-06-16T12:33:53Z
linkai.shop,,,_oauth_enabled,,有,https://linkai.shop/invite,2026-06-16T12:33:53Z
sub2api.luchikey.com,,,,,无,,2026-06-16T12:33:53Z
api.rkai6.com,,,,,无,,2026-06-16T12:33:53Z
clauqe.ai,,28251536,_oauth_enabled,,有,https://clauqe.ai/invite,2026-06-16T12:33:53Z
zxai.work,,,,,无,,2026-06-16T12:33:53Z
dasuapi.com,,851358582,_oauth_enabled,,有,https://dasuapi.com/invite,2026-06-16T12:33:53Z
ai.luminai.cc,,,,,无,,2026-06-16T12:33:53Z
fishxcode.com,,,,,无,,2026-06-16T12:33:53Z
api.whlemon.cn,t.me/+8UMrLUJQrogzZDE1,,_oauth_enabled,,有,https://api.whlemon.cn/invite,2026-06-16T12:33:53Z
api.api2cn.com,,,_oauth_enabled,,有,https://api.api2cn.com/invite,2026-06-16T12:33:53Z
poixe.com,,,,,无,,2026-06-16T12:33:53Z
hao.ai,t.me/haoai_official,,QR-code,,有,https://hao.ai/affiliate,2026-06-16T12:33:53Z
autorouter.io,,,,,无,,2026-06-16T12:33:53Z
sudocode.us,,,,,无,,2026-06-16T12:33:53Z
nekocode.ai,,,,,无,,2026-06-16T12:33:53Z
chiyicn.com,,2438256235,_oauth_enabled,,有,https://chiyicn.com/invite,2026-06-16T12:33:53Z
tokenmix.ai,t.me/tokenmixai,,,discord.gg/xj7ETnk4VA,无,,2026-06-16T12:33:53Z
claudeapi.com,t.me/niceclaude,,Label,,有,https://claudeapi.com/partner,2026-06-16T12:33:53Z
xbhuiz.com,,77178950,_oauth_enabled,,有,https://xbhuiz.com/invite,2026-06-16T12:33:53Z
api.frontier-intelligence.tech,,,,,无,,2026-06-16T12:33:53Z
5cookie.cc,,,,,无,,2026-06-16T12:33:53Z
api.ikuncode.cc,,,,,无,,2026-06-16T12:33:53Z
switchbase.vip,,,,,无,,2026-06-16T12:33:53Z
724codes.com,,,_oauth_enabled,,有,https://724codes.com/invite,2026-06-16T12:33:53Z
zz.aigm99.cn,,,,,无,,2026-06-16T12:33:53Z
huiyun.asia,,,,,无,,2026-06-16T12:33:53Z
