source,platform_name,domain,tech_stack,favicon_group,icp_filing,has_privacy_policy,contact_telegram,contact_qq,notes
Taobao,DKAI/大可,codex.dakeai.cc,Nginx,,无,是,,2415997472.0,
Taobao,向量引擎,api.vectorengine.ai,,,,,,,
Taobao,BestAIAPI/老张,api.laozhang.ai,未识别,,无,是,,,
Taobao,CHATOPENS/b站小光,hos.chatopens.vip,未识别,,无,是,,,
Taobao,神马中转API,api.whatai.cc,未识别,,无,是,,,
Taobao,MetaChat元语,www.metachat.work,未识别,,无,否,,,
Taobao,VAMN,claude.hk.cn,Nginx,,无,否,,,
Taobao,妙妙屋APIMMW,web.mmw.ink,未识别,,无,是,,,
Taobao,棋点AI,chat.chesspnt.com,未识别,,无,否,,,
Taobao,无限星河Ai,infistar.ai,"Nginx, NewAPI",,无,是,,,
Xiaohongshu,Tao API,newapi.qwqtao.one,"CloudFlare, NewAPI",,无,是,,,
Xiaohongshu,小鲸Ai开放平台,open.xiaojingai.com,Nginx,,无,是,,,
Xiaohongshu,Youkies API,newapi.youkies.space,未识别,,无,是,,,
Xiaohongshu,freez API,www.freezapi.eu.cc,CloudFlare,,无,是,,,
Xiaohongshu,悠米API,meeyo.org,NewAPI,,无,是,,,
Xiaohongshu,ARPANET API,arpanet.icu,NewAPI,,无,是,,,
Xiaohongshu,电子蝴蝶,api.ebutterfly.cc,"CloudFlare, NewAPI",,无,是,,,
Xiaohongshu,星港AI,xinggangai.com,"Nginx, NewAPI",,无,是,,,
Xiaohongshu,Spritnest,spritnest.com,"Nginx, NewAPI",,无,是,,,
Xiaohongshu,大肘子API,api.dzzi.ai,,,,,,,
Xiaohongshu,冻梨API,api.dongli.work,"Nginx, NewAPI",,无,是,,,
Xiaohongshu,uglycat,api.uglycat.cc,"CloudFlare, NewAPI",,无,是,,,
Xiaohongshu,阿拉丁API,www.aladingapi.cc,"Nginx, NewAPI",,无,是,,,
Xiaohongshu,STA1N API,cdn.sta1n.cn,"CloudFlare, NewAPI",,无,是,,,
Xiaohongshu,HoHoApi,hohoapi.com,CloudFlare,,无,是,,,
Xiaohongshu,GOGOAPI,www.gogoapi.cloud,Nginx,,无,是,,,
Xiaohongshu,Ekan8 API,api.ekan8.com,,,,,,,
Xiaohongshu,元气食堂API,shitang359.space,未识别,,无,否,,,
unknown,数智AI,ai-szzx.online,,,,,,,
hvoy_removed,旺旺中转站,api.bbww.top,,,,,,,"原 hvoy 列表移除，保留为手动追踪"
hvoy_removed,EasyRouter,easyrouter.io,,,,,,,"原 hvoy 列表移除，保留为手动追踪"
hvoy_removed,米醋AI,openclaudecode.cn,,,,,,,"原 hvoy 列表移除，保留为手动追踪"
hvoy_removed,哈基米,api.gemai.cc,,,,,,,"原 hvoy 列表移除，保留为手动追踪"
hvoy_removed,Z-API,api.tmlab.store,,,,,,,"原 hvoy 列表移除，保留为手动追踪"
hvoy_removed,DasuApi,dasuapi.com,,,,,,,"原 hvoy 列表移除，保留为手动追踪"
hvoy_removed,ZX API,zxai.work,,,,,,,"原 hvoy 列表移除，保留为手动追踪"
hvoy_removed,ClauqeAI,clauqe.ai,,,,,,,"原 hvoy 列表移除，保留为手动追踪"
manual,米醋API,www.micuapi.ai,,,,,,,"2026-06-23 手动加入；可能与 openclaudecode.cn / 米醋AI 有关联，待核实"
manual,dd.mfate.cn,dd.mfate.cn,,,,,,,2026-06-23 手动查找到
manual,dashboard.uibeai.com,dashboard.uibeai.com,,,,,,,"2026-06-23 手动查找到；原始URL: https://dashboard.uibeai.com/home"
manual,www.yooyai.cc,www.yooyai.cc,,,,,,,2026-06-23 手动查找到
manual,xtoken.xin,xtoken.xin,,,,,,,2026-06-23 手动查找到
manual,yuedongapi.top,yuedongapi.top,,,,,,,2026-06-23 手动查找到
manual,openmux.ai,openmux.ai,,,,,,,2026-06-23 手动查找到
manual,api.chshapi.org,api.chshapi.org,,,,,,,2026-06-23 手动查找到
manual,lulurouter.com,lulurouter.com,,,,,,,2026-06-23 手动查找到
manual,api.xpluse.plus,api.xpluse.plus,,,,,,,2026-06-23 手动查找到
manual,Subgate,subgate.io,,,,,,,"2026-06-23 手动查找到；原始URL: https://subgate.io/home"
