domain,platform_name,stack_family,framework_raw,online_status,tld,whois_reg_date,ssl_not_before,hosting_asn,ip_country,has_privacy,telegram,qq,operator_id,operator_domains,discovery_round,verdict,signal_tier,in_discovery,in_monitor,in_enriched,observed_hosts
bdshmmkj3.cn,aicost API,one-api-family,new-api/one-api系,,cn,,,,,,,,bdshmmkj3.cn,5,round7,confirmed,A_api_status,Y,,,bdshmmkj3.cn
daikuankm.cn,aicost API,one-api-family,new-api/one-api系,,cn,,,,,,,,bdshmmkj3.cn,5,round2,confirmed,A_api_status,Y,,,daikuankm.cn
oogaming.cn,aicost API,one-api-family,new-api/one-api系,,cn,,,,,,,,bdshmmkj3.cn,5,round7,confirmed,A_api_status,Y,,,oogaming.cn
racetozero.org.cn,aicost API,one-api-family,new-api/one-api系,,cn,,,,,,,,bdshmmkj3.cn,5,round7,confirmed,A_api_status,Y,,,racetozero.org.cn
zc-s.org.cn,aicost API,one-api-family,new-api/one-api系,,cn,,,,,,,,bdshmmkj3.cn,5,round7,confirmed,A_api_status,Y,,,zc-s.org.cn
a8.hk,便携AI聚合API,one-api-family,new-api/one-api系,,hk,,,,,,,,a8.hk,3,round2,confirmed,A_api_status,Y,,,api.a8.hk
ainstant.pro,快稳稳 API,one-api-family,new-api/one-api系,,pro,,,,,,,,ainstant.pro,3,round2,confirmed,A_api_status,Y,,,api.ainstant.pro
anyroute.io,AnyRoute,unlabeled,,ONLINE,io,2026-04-05,,AS138995 Antbox Networks Limited,United States,有,,,anyroute.io,3,,,,,Y,Y,cc.anyroute.io
bianxie.ai,便携AI聚合API,one-api-family,new-api/one-api系,,ai,,,,,,,,a8.hk,3,round2,confirmed,A_api_status,Y,,,api.bianxie.ai
bianxieai.com,便携AI聚合API,one-api-family,new-api/one-api系,,com,,,,,,,,a8.hk,3,round2,confirmed,A_api_status,Y,,,api.bianxieai.com
buzz7.top,Buzz · AI,one-api-family,new-api/one-api系,,top,,,,,,,,buzz7.top,3,round10,confirmed,A_api_status,Y,,,claude.buzz7.top
buzzai.cc,Buzz · AI,one-api-family,new-api/one-api系,ONLINE,cc,2026-03-06,,AS8796 FASTNET DATA INC,United States,有,,,buzz7.top,3,round16,confirmed,A_api_status,Y,Y,Y,buzzai.cc
buzzai.top,Buzz · AI,one-api-family,new-api/one-api系,,top,,,,,,,,buzz7.top,3,round10,confirmed,A_api_status,Y,,,buzzai.top
clauqe.ai,ClauqeAI,unlabeled,Vue,ONLINE,ai,2026-04-08,,AS138995 Antbox Networks Limited,United States,,,,anyroute.io,3,,,,,Y,Y,clauqe.ai
dragoncode.codes,Dragoncode,unlabeled,Vue,ONLINE,codes,,,AS138995 Antbox Networks Limited,United States,有,,,anyroute.io,3,,,,,Y,Y,dragoncode.codes
ephone.ai,ePhone AI,confirmed-unknown,unknown,ONLINE,ai,2023-08-03,,"AS13335 Cloudflare, Inc.",Canada,有,,,ephone.ai,3,round1,confirmed,A_api_status,Y,Y,Y,api.ephone.ai;ephone.ai;platform.ephone.ai
