domain,registrable_domain,already_in_seed,source_site,source_cert_fingerprint,san_entry,discovery_method
1.996444.icu,996444.icu,no,api.996444.cn,c3077d46ba355a988559a46317121f7d18f3a473279cec037481fe72ba028c6b,1.996444.icu,cert_san
3.5.996444.icu,996444.icu,no,api.996444.cn,c3077d46ba355a988559a46317121f7d18f3a473279cec037481fe72ba028c6b,3.5.996444.icu,cert_san
4.0.996444.icu,996444.icu,no,api.996444.cn,c3077d46ba355a988559a46317121f7d18f3a473279cec037481fe72ba028c6b,4.0.996444.icu,cert_san
4sapi.club,4sapi.club,no,4sapi.com,af0c1f4884ac72561455a4c01e6b69d306837a6b0a82419ed73a0d93cf9c9994,4sapi.club,cert_san
4sapi.club,4sapi.club,no,4sapi.net,af0c1f4884ac72561455a4c01e6b69d306837a6b0a82419ed73a0d93cf9c9994,4sapi.club,cert_san
4sapi.org,4sapi.org,no,4sapi.com,af0c1f4884ac72561455a4c01e6b69d306837a6b0a82419ed73a0d93cf9c9994,4sapi.org,cert_san
4sapi.org,4sapi.org,no,4sapi.net,af0c1f4884ac72561455a4c01e6b69d306837a6b0a82419ed73a0d93cf9c9994,4sapi.org,cert_san
api.996444.icu,996444.icu,no,api.996444.cn,c3077d46ba355a988559a46317121f7d18f3a473279cec037481fe72ba028c6b,api.996444.icu,cert_san
api.entorflux.com,entorflux.com,no,chatapi.zjt66.top,d24990a3306aac457b8de0725dbf8fd7bd4aea24d9075a46ad8c8a9e7ab124e2,api.entorflux.com,cert_san
api.zjuapi.com,zjuapi.com,no,chatapi.zjt66.top,d24990a3306aac457b8de0725dbf8fd7bd4aea24d9075a46ad8c8a9e7ab124e2,api.zjuapi.com,cert_san
chongflow.cn,chongflow.cn,no,chongcodex.cn,9bda3dbd5493d46a7adf3bb5cee0a8ce57b2e9ad9764dddcc139c0a5725117bb,chongflow.cn,cert_san
directapi.cn,directapi.cn,no,openrouter.team,4ce11b38dce0bdfa749669fc4609afa0d37843cbc43d5db3081acd6042af0db9,directapi.cn,cert_san
fast.openrelayx.cc,openrelayx.cc,no,fast.smartaipro.cn,fb5528ee590cf2e4d32134d4c4a5c6c62e2a02780651e373f41547165a70aac5,fast.openrelayx.cc,cert_san
nexaxis.io,nexaxis.io,no,nexaxis.ai,37c3de4f7ac97542024b64583e3329fe9753a67a68c155cd7449a9bfd4580c97,*.nexaxis.io,cert_san
one.996444.icu,996444.icu,no,api.996444.cn,c3077d46ba355a988559a46317121f7d18f3a473279cec037481fe72ba028c6b,one.996444.icu,cert_san
openrouter.blue,openrouter.blue,no,openrouter.team,4ce11b38dce0bdfa749669fc4609afa0d37843cbc43d5db3081acd6042af0db9,openrouter.blue,cert_san
oxcodex.com,oxcodex.com,no,openrouter.team,4ce11b38dce0bdfa749669fc4609afa0d37843cbc43d5db3081acd6042af0db9,oxcodex.com,cert_san
qfgapi.com,qfgapi.com,no,api.996444.cn,c3077d46ba355a988559a46317121f7d18f3a473279cec037481fe72ba028c6b,qfgapi.com,cert_san
subtoken.3esmart.org,3esmart.org,no,subtoken.vip,263d3b6504207c4416d3e42a1c38afce74ad53263356d540e200dd1c7859c5b4,subtoken.3esmart.org,cert_san
undyapi.com,undyapi.com,no,vip.undyingapi.com,24e17c8e8c13ab7551384c7273a5019fe55d1242561c587e7e3182c502feb3eb,undyapi.com,cert_san
vip.undyingapi.site,undyingapi.site,no,vip.undyingapi.com,24e17c8e8c13ab7551384c7273a5019fe55d1242561c587e7e3182c502feb3eb,vip.undyingapi.site,cert_san
xiaoyukefu.com,xiaoyukefu.com,no,www.aiapipk.com,368a92e89d4c2cfa9bbce62506bc9c144ccb3fe8ecfa231c85b0eed7e9f992c2,*.xiaoyukefu.com,cert_san
yiios.com,yiios.com,no,www.aiapipk.com,368a92e89d4c2cfa9bbce62506bc9c144ccb3fe8ecfa231c85b0eed7e9f992c2,*.yiios.com,cert_san
4sapi.com,4sapi.com,yes,4sapi.net,af0c1f4884ac72561455a4c01e6b69d306837a6b0a82419ed73a0d93cf9c9994,4sapi.com,cert_san
4sapi.net,4sapi.net,yes,4sapi.com,af0c1f4884ac72561455a4c01e6b69d306837a6b0a82419ed73a0d93cf9c9994,4sapi.net,cert_san
aigptx.top,aigptx.top,yes,x.dogenet.win,a453bec3bbfb77695ab8b2fc000e1a53ffd89b97d79c82451a5163aea8f498a5,www.aigptx.top,cert_san
buzzai.cc,buzzai.cc,yes,buzzai.top,fc6867fa46358cda7d1cd25696c02b1fb74e73d003d98657b86c9b132d55d097,buzzai.cc,cert_san
buzzai.top,buzzai.top,yes,buzzai.cc,fc6867fa46358cda7d1cd25696c02b1fb74e73d003d98657b86c9b132d55d097,buzzai.top,cert_san
