dimension,value,count,pct_of_total
stack_family,one-api-family,631,78.0
stack_family,unlabeled,153,18.9
stack_family,sub2api,14,1.7
stack_family,openai-compatible-unknown,7,0.9
stack_family,confirmed-unknown,4,0.5
tld,com,227,28.1
tld,ai,167,20.6
tld,cn,75,9.3
tld,top,72,8.9
tld,cc,52,6.4
tld,xyz,33,4.1
tld,org,23,2.8
tld,net,19,2.3
tld,vip,19,2.3
tld,pro,12,1.5
tld,io,11,1.4
tld,dev,10,1.2
tld,chat,9,1.1
tld,one,9,1.1
tld,uk,5,0.6
tld,online,4,0.5
tld,club,4,0.5
tld,site,4,0.5
tld,hk,3,0.4
tld,tech,3,0.4
tld,cloud,3,0.4
tld,codes,3,0.4
tld,work,3,0.4
tld,co,3,0.4
tld,app,3,0.4
tld,world,2,0.2
tld,xin,2,0.2
tld,icu,2,0.2
tld,store,2,0.2
tld,shop,2,0.2
tld,space,2,0.2
tld,us,2,0.2
tld,mom,1,0.1
tld,ad,1,0.1
tld,win,1,0.1
tld,cx,1,0.1
tld,ge,1,0.1
tld,ltd,1,0.1
tld,fun,1,0.1
tld,asia,1,0.1
tld,hvoy_removed,1,0.1
tld,today,1,0.1
tld,ink,1,0.1
tld,buzz,1,0.1
tld,pub,1,0.1
tld,me,1,0.1
tld,best,1,0.1
tld,plus,1,0.1
tld,vg,1,0.1
tld,lat,1,0.1
tld,sbs,1,0.1
signal_tier,A_api_status,529,65.4
signal_tier,(none),157,19.4
signal_tier,C_framework+content,116,14.3
signal_tier,B_v1_models,7,0.9
hosting (enriched only),Cloudflare,296,36.6
hosting (enriched only),(unknown),105,13.0
hosting (enriched only),Amazon.com,50,6.2
hosting (enriched only),OVH SAS,38,4.7
hosting (enriched only),Alibaba (US) Technology Co.,29,3.6
hosting (enriched only),NetLab Global,23,2.8
hosting (enriched only),IT7 Networks Inc,19,2.3
hosting (enriched only),DMIT Cloud Services,18,2.2
hosting (enriched only),Tencent Building,17,2.1
hosting (enriched only),ACE,15,1.9
hosting (enriched only),Hangzhou Alibaba Advertising C,14,1.7
hosting (enriched only),FASTNET DATA INC,13,1.6
hosting (enriched only),Shenzhen Tencent Computer Syst,12,1.5
hosting (enriched only),Spartan Host Ltd,11,1.4
hosting (enriched only),cognetcloud INC,9,1.1
hosting (enriched only),Zhejiang Taobao Network Co.,8,1.0
hosting (enriched only),Google LLC,8,1.0
hosting (enriched only),Sharktech,7,0.9
hosting (enriched only),Peekabo Networks,6,0.7
hosting (enriched only),ReliableSite.Net LLC,5,0.6
hosting (enriched only),HostPapa,5,0.6
hosting (enriched only),DigitalOcean,4,0.5
hosting (enriched only),Microsoft Corporation,4,0.5
hosting (enriched only),CHINA UNICOM China169 Backbone,4,0.5
hosting (enriched only),Cogent Communications,4,0.5
hosting (enriched only),AROSSCLOUD INC.,4,0.5
hosting (enriched only),Meteverse Limited.,3,0.4
hosting (enriched only),The Constant Company,3,0.4
hosting (enriched only),Antbox Networks Limited,3,0.4
hosting (enriched only),Fastly,3,0.4
hosting (enriched only),YISU CLOUD LTD,2,0.2
hosting (enriched only),GoMami Networks,2,0.2
hosting (enriched only),Hetzner Online GmbH,2,0.2
hosting (enriched only),CHINANET Yunnan province IDC1 ,2,0.2
hosting (enriched only),FiberState,2,0.2
hosting (enriched only),Florian Kolb,2,0.2
hosting (enriched only),UCLOUD INFORMATION TECHNOLOGY ,2,0.2
hosting (enriched only),PEG TECH INC,2,0.2
hosting (enriched only),netcup GmbH,2,0.2
hosting (enriched only),Starry Network Limited,2,0.2
hosting (enriched only),Hubei Feixun Network Co.,2,0.2
hosting (enriched only),VpsQuan L.L.C.,1,0.1
hosting (enriched only),Data Communication Business Gr,1,0.1
hosting (enriched only),XNNET LLC,1,0.1
hosting (enriched only),LUOGELANG (FRANCE) LIMITED,1,0.1
hosting (enriched only),EGIHosting,1,0.1
hosting (enriched only),SAKURA LINK LIMITED,1,0.1
hosting (enriched only),Law's Cloud Infrastructure Lim,1,0.1
hosting (enriched only),Bunny Communications,1,0.1
hosting (enriched only),Datacamp Limited,1,0.1
hosting (enriched only),New Dream Network,1,0.1
hosting (enriched only),CORENET CLOUD SDN. BHD.,1,0.1
hosting (enriched only),Fly.io,1,0.1
hosting (enriched only),NAMESILO,1,0.1
hosting (enriched only),PLAY2GO INTERNATIONAL LIMITED,1,0.1
hosting (enriched only),China Mobile communications co,1,0.1
hosting (enriched only),Byteplus Pte. Ltd.,1,0.1
hosting (enriched only),Akari Networks,1,0.1
hosting (enriched only),Railway,1,0.1
hosting (enriched only),IENS TECHNOLOGY PTE. LTD,1,0.1
hosting (enriched only),Scaleway SAS,1,0.1
hosting (enriched only),Bold Software Inc,1,0.1
hosting (enriched only),Huicast Telecom Limited,1,0.1
hosting (enriched only),LUCIDACLOUD LIMITED,1,0.1
hosting (enriched only),SonderCloud Limited,1,0.1
hosting (enriched only),CT HuNan Changsha IDC,1,0.1
hosting (enriched only),UAB Cherry Servers,1,0.1
hosting (enriched only),CHINANET SHAANXI province Clou,1,0.1
hosting (enriched only),Leaseweb USA,1,0.1
hosting (enriched only),Beijing Volcano Engine Technol,1,0.1
hosting (enriched only),Zenlayer Inc,1,0.1
hosting (enriched only),Beijing Baidu Netcom Science a,1,0.1
hosting (enriched only),FDCservers.net,1,0.1
hosting (enriched only),Render,1,0.1
hosting (enriched only),AkileCloud Network,1,0.1
hosting (enriched only),Kirino LLC,1,0.1
hosting (enriched only),CNSERVERS LLC,1,0.1
hosting (enriched only),CNServer LLC,1,0.1
hosting (enriched only),Verizon Business,1,0.1
hosting (enriched only),Hong Kong Communications Inter,1,0.1
hosting (enriched only),China Telecom (Group),1,0.1
hosting (enriched only),Enzu Inc,1,0.1
hosting (enriched only),Google Ireland Limited,1,0.1
hosting (enriched only),xTom,1,0.1
hosting (enriched only),IDC,1,0.1
hosting (enriched only),HUAWEI CLOUDS,1,0.1
hosting (enriched only),Oracle Corporation,1,0.1
hosting (enriched only),VH Global Limited,1,0.1
ip_country (enriched only),Canada,299,37.0
ip_country (enriched only),United States,239,29.5
ip_country (enriched only),(unknown),104,12.9
ip_country (enriched only),Hong Kong,62,7.7
ip_country (enriched only),China,41,5.1
ip_country (enriched only),Singapore,33,4.1
ip_country (enriched only),Japan,14,1.7
ip_country (enriched only),South Korea,4,0.5
ip_country (enriched only),Germany,3,0.4
ip_country (enriched only),Finland,2,0.2
ip_country (enriched only),South Africa,2,0.2
ip_country (enriched only),The Netherlands,2,0.2
ip_country (enriched only),Brazil,2,0.2
ip_country (enriched only),Taiwan,1,0.1
ip_country (enriched only),Indonesia,1,0.1
