source_ip,n_on_ip,domain,operator_id,already_same_operator,new_collapse
64.32.23.99,4,ablai.top,ablai.top,Y,
64.32.23.99,4,geekai.pro,ablai.top,Y,
64.32.23.99,4,linkapi.org,ablai.top,Y,
64.32.23.99,4,whatai.cc,ablai.top,Y,
163.181.214.1,4,codesuc.top,codesuc.top,Y,
163.181.214.1,4,hcnote.cn,codesuc.top,Y,
163.181.214.1,4,joyzhi.com,codesuc.top,Y,
163.181.214.1,4,littlesheep.cc,codesuc.top,Y,
192.238.249.142,3,anyroute.io,anyroute.io,Y,
192.238.249.142,3,clauqe.ai,anyroute.io,Y,
192.238.249.142,3,dragoncode.codes,anyroute.io,Y,
138.113.241.54,2,147ai.com,147ai.cn,Y,
138.113.241.54,2,580ai.net,147ai.cn,Y,
154.17.20.134,2,4sapi.com,4sapi.com,Y,
154.17.20.134,2,4sapi.net,4sapi.com,Y,
43.169.14.10,2,ai-gaochao.cn,ai-gaochao.cn,Y,
43.169.14.10,2,openai-hub.com,ai-gaochao.cn,Y,
43.169.13.10,2,orcarouter.ai,ai-gaochao.cn,Y,
43.169.13.10,2,shubiaobiao.cn,ai-gaochao.cn,Y,
154.21.93.129,2,aigcbest.top,aigc456.top,Y,
154.21.93.129,2,ifopen.ai,aigc456.top,Y,
154.44.9.242,2,kuaiwenwen.top,ainstant.pro,Y,
154.44.9.242,2,kwwai.top,ainstant.pro,Y,
172.83.152.193,2,api260.com,api260.com,Y,
172.83.152.193,2,huanapi.com,api260.com,Y,
172.83.153.3,2,bdshmmkj3.cn,bdshmmkj3.cn,Y,
172.83.153.3,2,zc-s.org.cn,bdshmmkj3.cn,Y,
154.219.121.52,2,buzzai.cc,buzz7.top,Y,
154.219.121.52,2,wasdxx.xyz,buzz7.top,Y,
69.63.217.215,2,ccfly.codes,ccfly.codes,Y,
69.63.217.215,2,ccplus.site,ccfly.codes,Y,
23.147.52.14,2,cdn.ad,cdn.ad,Y,
23.147.52.14,2,shitang359.space,cdn.ad,Y,
36.249.95.172,2,chintao.cn,chintao.cn,Y,
36.249.95.172,2,satuo66.online,chintao.cn,Y,
23.148.204.171,2,ekti.cc,ekti.cc,Y,
23.148.204.171,2,noc.cy,ekti.cc,Y,
45.78.78.39,2,huaci.ai,huaci.ai,Y,
45.78.78.39,2,huasuan.ai,huaci.ai,Y,
23.239.108.122,2,ybtech.cc,kingflow.ai,Y,
23.239.108.122,2,zzhfwl.com,kingflow.ai,Y,
155.102.130.209,2,kr777.top,kr777.top,Y,
155.102.130.209,2,newapi.pro,kr777.top,Y,
23.147.52.36,2,monking.ai,monking.ai,Y,
23.147.52.36,2,vbcode.io,monking.ai,Y,
43.159.107.179,2,teamolab.com,teamolab.com,Y,
43.159.107.179,2,teamorouter.com,teamolab.com,Y,
