operator_id,domain_count,platform_names,stack_families,hosting,countries,birth_range,tie_cert,tie_favicon,tie_ip,tie_sitename,tie_contact,member_domains,merge_basis
ablai.top,6,1;小豆包API;极客学长API-01;柏拉图AI;神马中转API,one-api-family:6,Sharktech:5;NetLab Global:1,United States:6,2023…2026,,Y,Y,Y,,ablai.top;bltcy.ai;bltcy.top;geekai.pro;linkapi.org;whatai.cc,favicon=['4214f2244b29']; ip=['64.32.23.99']; sitename=['柏拉图ai']
africarouter.ai,5,EasyToken;ocoolAI,one-api-family:4;unlabeled:1,Amazon.com:2;Hangzhou Alibaba Adverti:1;Microsoft Corporation:1,United States:2;China:1;South Africa:1,2024…2026,,Y,,,,africarouter.ai;easy-token.com;ocoolai.com;therouter.ai;threadzy.ai,favicon=['c30c7d42707a']
bdshmmkj3.cn,5,aicost API,one-api-family:5,Spartan Host Ltd:5,United States:5,2025…2025,,,Y,Y,,bdshmmkj3.cn;daikuankm.cn;oogaming.cn;racetozero.org.cn;zc-s.org.cn,ip=['172.83.153.31']; sitename=['aicost api']
ai-gaochao.cn,4,OpenAI-Hub;OrcaRouter;数标标API,one-api-family:4,ACE:4,Singapore:4,2023…2026,,Y,Y,Y,,ai-gaochao.cn;openai-hub.com;orcarouter.ai;shubiaobiao.cn,"favicon=['2aeb552a8ba7']; ip=['43.169.13.10', '43.169.14.10']; sitename=['数标标api']"
147ai.cn,3,147 AI;Nano banana,one-api-family:3,Meteverse Limited.:3,United States:3,2025…2025,,,Y,Y,,147ai.cn;147ai.com;580ai.net,ip=['157.185.163.113']; sitename=['147 ai']
a8.hk,3,便携AI聚合API,one-api-family:3,Cloudflare:1;IT7 Networks Inc:1;Shenzhen Tencent Compute:1,Canada:1;United States:1;China:1,2015…2024,,,,Y,,a8.hk;bianxie.ai;bianxieai.com,sitename=['便携ai聚合api']
aigc456.top,3,钱多多 API;钱多多 API Beta,one-api-family:3,DMIT Cloud Services:2;OVH SAS:1,United States:3,2023…2024,,,Y,Y,,aigc456.top;aigcbest.top;ifopen.ai,ip=['154.21.93.129']; sitename=['钱多多 api']
ainstant.pro,3,快稳稳 API,one-api-family:3,Cogent Communications:2;Cloudflare:1,United States:2;Canada:1,2023…2026,,,Y,Y,,ainstant.pro;kuaiwenwen.top;kwwai.top,ip=['154.44.9.242']; sitename=['快稳稳 api']
buzz7.top,3,Buzz · AI,one-api-family:3,Microsoft Corporation:1;FASTNET DATA INC:1,South Africa:1;United States:1,2025…2026,,,,Y,,buzz7.top;buzzai.cc;buzzai.top,sitename=['buzz · ai']
ephone.ai,3,ePhone AI,confirmed-unknown:3,Cloudflare:2;DMIT Cloud Services:1,Canada:2;United States:1,2023…2026,,Y,,Y,,ephone.ai;ephone.chat;innk.cc,favicon=['67a3ef99e381']; sitename=['ephone ai']
hcnote.cn,3,LittleSheep API;MiloCode,one-api-family:3,Zhejiang Taobao Network :3,United States:3,2020…2024,,,Y,,,hcnote.cn;joyzhi.com;littlesheep.cc,ip=['163.181.214.1']
onechats.ai,3,OneChat API,one-api-family:3,Amazon.com:2;Cloudflare:1,Japan:2;Canada:1,2024…2024,,,,Y,,onechats.ai;onechats.cn;onechats.top,sitename=['onechat api']
poloai.top,3,PoloAPI,one-api-family:3,OVH SAS:3,United States:3,2025…2025,,,,Y,,poloai.top;poloapi.com;poloapi.top,sitename=['poloapi']
satuo66.online,3,SaTuoAPI;小鲸 AI 开放平台,one-api-family:3,CHINA UNICOM China169 Ba:2;ACE:1,China:2;Singapore:1,2023…2026,,,Y,Y,,satuo66.online;x-see.cn;xiaojingai.com,ip=['221.204.163.72']; sitename=['小鲸 ai 开放平台']
4sapi.com,2,4SAPI,one-api-family:2,DMIT Cloud Services:2,United States:2,2025…2026,Y,,Y,Y,,4sapi.com;4sapi.net,"cert_fp=['af0c1f4884ac72561455a4c01e6b69d306837a6b0a82419ed73a0d93cf9c9994']; cert_san=['4sapi.club', '4sapi.com']; ip=['154.17.20.134']; sitename=['4sapi']"
ai-szzx.online,2,数智AI,unlabeled:1;one-api-family:1,Shenzhen Tencent Compute:1;Cloudflare:1,China:1;Canada:1,2023…2026,,,,Y,,ai-szzx.online;xpluse.plus,sitename=['数智ai']
ai-wave.org,2,AI Wave;黑与白公益站,one-api-family:2,Cloudflare:2,Canada:2,2022…2025,,Y,,,,ai-wave.org;hybgzs.com,favicon=['9b33c57176e1']
anyroute.io,2,AnyRoute;换API,unlabeled:1;one-api-family:1,Spartan Host Ltd:2,United States:2,2026…2026,,,Y,,,anyroute.io;huanapi.com,ip=['172.83.152.193']
b886.top,2,CCTQ,unlabeled:1;one-api-family:1,Cloudflare:1,Canada:1,2024…2026,,,,Y,,b886.top;cctq.ai,sitename=['cctq']
bbww.top,2,旺旺中转站,one-api-family:1;unlabeled:1,Cloudflare:1,Canada:1,2026…2026,,,,Y,,bbww.top;hvoy_removed,sitename=['旺旺中转站']
bearlab.ai,2,PRY API,one-api-family:2,Cloudflare:2,Canada:2,2026…2026,,,,Y,,bearlab.ai;crond.dev,sitename=['pry api']
