domain,stack_family,site_role,hosting_type,maturity_tier,health,birth_year,dedicated_cert,operator_id,operator_domains,multi_brand_operator,template_family,payment_methods,has_faka,trust_claims
0029.org,sub2api,conversion_layer,direct_origin,new_2026,https_alive,2026,Y,0029.org,1,,,alipay|usdt_crypto|epay,,stability
050602.xyz,one-api-family,relay,cdn_fronted,growing_2025,ONLINE,2025,Y,050602.xyz,1,,,,,
10dianai.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,10dianai.com,1,,,,,
112102.xyz,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,112102.xyz,1,,,,,
114api.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,114api.com,1,,,,,stability
121628.xyz,one-api-family,relay,cdn_fronted,established,https_alive,2022,Y,121628.xyz,1,,,,,
123nhh.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,123nhh.com,1,,,,,
123nhh.xyz,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,123nhh.xyz,1,,,,,
12ai.org,one-api-family,relay,cdn_fronted,established,https_alive,2024,Y,12ai.org,1,,,,,
132999.xyz,one-api-family,relay,direct_origin,established,https_alive,2023,Y,132999.xyz,1,,,,,
147ai.cn,one-api-family,relay,direct_origin,growing_2025,https_alive,2025,Y,147ai.cn,3,Y,147ai.cn,,,
147ai.com,one-api-family,relay,direct_origin,growing_2025,https_alive,2025,Y,147ai.cn,3,Y,147ai.cn,,,
16api.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,16api.com,1,,,,,stability
17nas.com,one-api-family,relay,cdn_fronted,growing_2025,CLOUDFLARE_OR_BLOCKED,2025,Y,17nas.com,1,,,,,
180txt.cn,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,180txt.cn,1,,,,,
1ove.tech,sub2api,conversion_layer,direct_origin,established,https_alive,2024,Y,1ove.tech,1,,,,,
1publish.me,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,1publish.me,1,,,,,no_log|stability
1xm.ai,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,1xm.ai,1,,,,,
2020111.xyz,one-api-family,relay,cdn_fronted,established,https_alive,2024,Y,2020111.xyz,1,,,,,
242243.xyz,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,242243.xyz,1,,,,,
2dapi.online,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,2dapi.online,1,,,wechat_pay,,
361888.xyz,one-api-family,relay,direct_origin,growing_2025,https_alive,2025,Y,361888.xyz,1,,,,,
4399ai.cn,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,4399ai.cn,1,,,,,
4hidc.com,openai-compatible-unknown,unidentified,cdn_fronted,established,https_alive,2014,Y,4hidc.com,2,,,alipay,,no_log|no_dilution|stability
4router.net,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,4router.net,1,,,,,stability
4sapi.com,one-api-family,relay,direct_origin,growing_2025,https_alive,2025,Y,4sapi.com,2,,4sapi.com,,,
4sapi.net,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,4sapi.com,2,,4sapi.com,,,
