family_id,size,shared_features,stack_families,members
52ccl.cn,10,server:esa,one-api-family:9;unlabeled:1,52ccl.cn;bobdong.cn;codesuc.top;hcnote.cn;iamhc.cn;joyzhi.com;kr777.top;littlesheep.cc;newapi.pro;paopaoapi.com
aiyahmm.com,8,asn:Peekabo Networks,one-api-family:5;unlabeled:3,aiyahmm.com;axis.fan;ccode.dev;cdn.ad;monking.ai;shitang359.space;uucode.org;vbcode.io
ablai.top,5,asn:Sharktech;favicon:4214f2244b29,one-api-family:5,ablai.top;bltcy.ai;geekai.pro;linkapi.org;whatai.cc
ai-gaochao.cn,5,asn:ACE,one-api-family:5,ai-gaochao.cn;api520.pro;openai-hub.com;orcarouter.ai;shubiaobiao.cn
bdshmmkj3.cn,5,asn:Spartan Host Ltd;registrar:上海福虎信息科技有限公司,one-api-family:5,bdshmmkj3.cn;daikuankm.cn;oogaming.cn;racetozero.org.cn;zc-s.org.cn
guardentry.ai,4,"registrar:Name.com, Inc.;server:vercel",one-api-family:3;sub2api:1,guardentry.ai;hypereal.cloud;voyageage.com;zernio.com
147ai.cn,3,asn:Meteverse Limited.,one-api-family:3,147ai.cn;147ai.com;580ai.net
anyroute.io,3,asn:Antbox Networks Li;ip:192.238.249.142;server:lyywafcdn,unlabeled:3,anyroute.io;clauqe.ai;dragoncode.codes
callgpt.co.uk,3,server:apache;tech:apache,one-api-family:2;openai-compatible-unknown:1,callgpt.co.uk;moyuu.cc;starstartai.com
chintao.cn,3,asn:CHINA UNICOM China,one-api-family:3,chintao.cn;code-cli.cn;satuo66.online
cognilead.ai,3,"asn:Fly.io, Inc.;server:fly",openai-compatible-unknown:2;one-api-family:1,cognilead.ai;kunavo.com;teai.io
fastgpt.cn,3,favicon:2340bd772b87;tech:next.js,one-api-family:3,fastgpt.cn;fastgpt.io;weisoft.chat
4sapi.com,2,asn:DMIT Cloud Service;ip:154.17.20.134,one-api-family:2,4sapi.com;4sapi.net
africarouter.ai,2,favicon:c30c7d42707a;server:vercel,one-api-family:2,africarouter.ai;threadzy.ai
aigcbest.top,2,asn:DMIT Cloud Service;ip:154.21.93.129,one-api-family:2,aigcbest.top;ifopen.ai
api260.com,2,asn:Spartan Host Ltd;ip:172.83.152.193;server:lyywafcdn,one-api-family:2,api260.com;huanapi.com
buzzai.cc,2,asn:FASTNET DATA INC;ip:154.219.121.52,one-api-family:2,buzzai.cc;wasdxx.xyz
ccfly.codes,2,asn:DMIT Cloud Service;ip:69.63.217.215,unlabeled:2,ccfly.codes;ccplus.site
chaophone.top,2,favicon:c30c7d42707a;tech:next.js,openai-compatible-unknown:1;one-api-family:1,chaophone.top;gemini.wang
gpt.ge,2,asn:IT7 Networks Inc;favicon:13f36961b1dd,one-api-family:2,gpt.ge;vveai.com
huaci.ai,2,asn:IT7 Networks Inc;ip:45.78.78.39,one-api-family:2,huaci.ai;huasuan.ai
juesiapi.top,2,asn:HostPapa;registrar:Gname.com Pte. Ltd.,one-api-family:1;sub2api:1,juesiapi.top;safeapi.vip
kuaiwenwen.top,2,asn:Cogent Communicati;ip:154.44.9.242,one-api-family:2,kuaiwenwen.top;kwwai.top
lkyujun.cn,2,asn:China Telecom (Gro;server:tengine,openai-compatible-unknown:1;unlabeled:1,lkyujun.cn;tokaify.com
teamolab.com,2,asn:ACE;favicon:b0fbe282e69b;ip:43.159.107.179,one-api-family:2,teamolab.com;teamorouter.com
ybtech.cc,2,"asn:GorillaServers, In;favicon:e3078908b750;ip:23.239.108.122",one-api-family:2,ybtech.cc;zzhfwl.com
