site_key,stack_family,framework_raw,tld,signal_tier,enriched,hosting,ip_country,has_privacy,icp_filing,operator_id,cluster_size
0029.org,sub2api,sub2api,org,C_framework+content,no,,,,,0029.org,1
050602.xyz,one-api-family,"Cloudflare, React, NewAPI",xyz,,yes,Cloudflare,Canada,有,,050602.xyz,1
10dianai.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,10dianai.com,1
112102.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,112102.xyz,1
121628.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,121628.xyz,1
123nhh.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,123nhh.com,1
123nhh.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,123nhh.xyz,1
12ai.org,one-api-family,new-api/one-api系,org,A_api_status,no,,,,,12ai.org,1
132999.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,132999.xyz,1
147ai.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,147ai.cn,2
147ai.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,147ai.cn,2
17nas.com,one-api-family,new-api/one-api系,com,A_api_status,yes,Cloudflare,Canada,无,,17nas.com,1
180txt.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,180txt.cn,1
1xm.ai,one-api-family,new-api/one-api系,ai,A_api_status,yes,Cloudflare,Canada,有,,1xm.ai,1
2020111.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,2020111.xyz,1
242243.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,242243.xyz,1
361888.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,361888.xyz,1
4399ai.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,4399ai.cn,1
4router.net,one-api-family,new-api/one-api系,net,A_api_status,no,,,,,4router.net,1
4sapi.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,4sapi.com,2
4sapi.net,one-api-family,new-api/one-api系,net,A_api_status,no,,,,,4sapi.com,2
4zapi.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,4zapi.com,1
52ccl.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,52ccl.cn,1
52mx.net,one-api-family,new-api/one-api系,net,A_api_status,no,,,,,52mx.net,1
580ai.net,one-api-family,new-api/one-api系,net,A_api_status,no,,,,,580ai.net,1
5cookie.cc,one-api-family,new-api/one-api系,cc,A_api_status,yes,VMISS Inc.,United States,无,,5cookie.cc,1
66ai.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,66ai.ai,1
724codes.com,unlabeled,Vue,com,,yes,Data Communication Business Gr,Taiwan,有,,724codes.com,1
777114.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,777114.xyz,1
777358.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,777358.xyz,1
78code.cc,one-api-family,new-api/one-api系,cc,A_api_status,no,,,,,78code.cc,1
7x.hk,one-api-family,new-api/one-api系,hk,A_api_status,no,,,,,7x.hk,1
8864k.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,8864k.com,1
88api.chat,one-api-family,new-api/one-api系,chat,A_api_status,no,,,,,88api.chat,1
8yes.cc,one-api-family,new-api/one-api系,cc,A_api_status,no,,,,,8yes.cc,1
91router.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,91router.ai,1
9527code.com,one-api-family,new-api/one-api系,com,A_api_status,yes,Cloudflare,Canada,有,,9527code.com,1
992236.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,992236.xyz,1
996444.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,996444.cn,1
999554.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,999554.xyz,1
a1r.cc,one-api-family,new-api/one-api系,cc,A_api_status,no,,,,,a1r.cc,1
a6api.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,a6api.com,1
a8.hk,one-api-family,new-api/one-api系,hk,A_api_status,no,,,,,a8.hk,3
aaatoken.cn,one-api-family,new-api/one-api系,cn,A_api_status,yes,Hangzhou Alibaba Advertising C,China,无,,aaatoken.cn,1
aabao.vip,one-api-family,new-api/one-api系,vip,A_api_status,no,,,,,aabao.vip,1
abacus.ai,one-api-family,one-api,ai,C_framework+content,no,,,,,abacus.ai,1
abcrelay.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,abcrelay.com,1
ablai.top,one-api-family,new-api/one-api系,top,A_api_status,no,,,,,ablai.top,1
affordableaiapi.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,affordableaiapi.com,1
africarouter.ai,one-api-family,one-api,ai,C_framework+content,no,,,,,africarouter.ai,1
agentrouter.org,one-api-family,new-api/one-api系,org,A_api_status,no,,,,,agentrouter.org,1
ai-gaochao.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,ai-gaochao.cn,2
ai-openclaw.one,one-api-family,new-api/one-api系,one,A_api_status,no,,,,,ai-openclaw.one,1
ai-szzx.online,unlabeled,Nginx,online,,yes,Shenzhen Tencent Computer Syst,China,有,,ai-szzx.online,2
ai-wave.org,one-api-family,new-api/one-api系,org,A_api_status,no,,,,,ai-wave.org,1
ai-yyds.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,ai-yyds.com,1
ai.cc,one-api-family,one-api,cc,C_framework+content,no,,,,,ai.cc,1
ai123.one,one-api-family,new-api/one-api系,one,A_api_status,no,,,,,ai123.one,1
aiapi.world,unlabeled,Nginx,world,,yes,Alibaba (US) Technology Co.,Hong Kong,有,,aiapi.world,1
aiapidoctor.com,one-api-family,new-api,com,C_framework+content,no,,,,,aiapidoctor.com,1
aiapify.com,one-api-family,new-api/one-api系,com,A_api_status,yes,Alibaba (US) Technology Co.,Hong Kong,有,,aiapify.com,1
aiapipk.com,one-api-family,one-api,com,C_framework+content,no,,,,,aiapipk.com,1
aiapis.io,unlabeled,"Cloudflare, Vue",io,,yes,Cloudflare,Canada,有,,aiapis.io,1
aiartmirror.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,aiartmirror.com,1
aiberm.com,one-api-family,new-api/one-api系,com,A_api_status,yes,Amazon.com,United States,有,,aiberm.com,1
aibinghe.xyz,unlabeled,"Nginx, Vue",xyz,,yes,NetLab Global,Hong Kong,有,,aibinghe.xyz,1
aicc0.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,aicc0.com,1
aicodemirror.com,unlabeled,Cloudflare,com,,yes,Cloudflare,Canada,无,,aicodemirror.com,1
aieania.tech,unlabeled,"Nginx, Vue",tech,,yes,Tencent Building,United States,有,,aieania.tech,1
aiearth.dev,one-api-family,new-api/one-api系,dev,A_api_status,no,,,,,aiearth.dev,1
aiflowhub.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,aiflowhub.ai,1
aifoxspa.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,aifoxspa.com,1
aigc2d.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,aigc2d.com,1
aigc456.top,one-api-family,new-api/one-api系,top,A_api_status,no,,,,,aigc456.top,2
aigcbest.top,one-api-family,new-api/one-api系,top,A_api_status,no,,,,,aigcbest.top,1
aigm99.cn,one-api-family,new-api/one-api系,cn,A_api_status,yes,Cloudflare,Canada,无,,aigm99.cn,1
aigo123.net,one-api-family,new-api/one-api系,net,A_api_status,no,,,,,aigo123.net,1
aigocode.com,unlabeled,,com,,yes,Cloudflare,Canada,有,,aigocode.com,1
aijws.com,unlabeled,Cloudflare,com,,yes,Cloudflare,Canada,有,,aijws.com,1
aikeji.vip,one-api-family,new-api/one-api系,vip,A_api_status,no,,,,,aikeji.vip,1
aimlapi.com,one-api-family,one-api,com,C_framework+content,no,,,,,aimlapi.com,1
ainstant.pro,one-api-family,new-api/one-api系,pro,A_api_status,no,,,,,ainstant.pro,3
aiok.club,one-api-family,new-api/one-api系,club,A_api_status,no,,,,,aiok.club,1
aiporters.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,aiporters.com,1
aircode.xin,unlabeled,"Nginx, Vue",xin,,yes,netcup GmbH,United States,有,,aircode.xin,1
aiskt.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,aiskt.com,1
aisz.mom,one-api-family,new-api,mom,A_api_status,yes,Cloudflare,Canada,无,,aisz.mom,1
aixor.org,one-api-family,new-api/one-api系,org,A_api_status,no,,,,,aixor.org,1
aiyahmm.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,aiyahmm.com,1
aizex.top,one-api-family,new-api/one-api系,top,A_api_status,no,,,,,aizex.top,1
aladingapi.cc,one-api-family,new-api/one-api系,cc,A_api_status,yes,NetLab Global,United States,无,无,aladingapi.cc,1
allinai7.cloud,unlabeled,,cloud,,yes,,,无,,allinai7.cloud,1
amutes.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,amutes.com,1
amux.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,amux.ai,1
ananapi.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,ananapi.com,1
anpin.ai,unlabeled,Vue,ai,,yes,SAKURA LINK LIMITED,Hong Kong,有,,anpin.ai,1
ant-ling.com,openai-compatible-unknown,openai_compatible_unknown,com,B_v1_models,no,,,,,ant-ling.com,1
antirez.com,one-api-family,new-api,com,C_framework+content,no,,,,,antirez.com,1
antsk.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,antsk.cn,1
anxidc.com,unlabeled,,com,,yes,,,无,,anxidc.com,1
anyaigc.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,anyaigc.com,1
anyone.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,anyone.ai,1
anyroute.io,unlabeled,,io,,yes,Antbox Networks Limited,United States,有,,anyroute.io,3
aokapi.com,one-api-family,new-api/one-api系,com,A_api_status,yes,Tencent Building,Hong Kong,无,,aokapi.com,1
apertis.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,apertis.ai,1
api000.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,api000.com,1
api2cn.com,unlabeled,"Cloudflare, Vue",com,,yes,Cloudflare,Canada,有,,api2cn.com,1
api520.pro,one-api-family,new-api/one-api系,pro,A_api_status,no,,,,,api520.pro,1
api96.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,api96.com,1
apiclaude.cc,unlabeled,Vue,cc,,yes,The Constant Company,United States,无,,apiclaude.cc,1
apiddt.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,apiddt.com,1
apidock.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,apidock.ai,1
apigator.ai,one-api-family,one-api,ai,C_framework+content,no,,,,,apigator.ai,1
apihost.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,apihost.cn,1
apimart.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,apimart.ai,1
apinebula.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,apinebula.com,1
apinova.cc,unlabeled,React,cc,,yes,NetLab Global,United States,无,,apinova.cc,1
apiporter.com,one-api-family,"React, NewAPI",com,,yes,NetLab Global,United States,无,,apiporter.com,1
apirouter.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,apirouter.ai,1
apiwarrior.xyz,one-api-family,new-api/one-api系,xyz,A_api_status,no,,,,,apiwarrior.xyz,1
apixo.ai,one-api-family,one-api,ai,C_framework+content,no,,,,,apixo.ai,1
apiyi.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,apiyi.com,1
ark717.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,ark717.com,1
arkvision.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,arkvision.ai,1
arpanet.icu,one-api-family,new-api/one-api系,icu,A_api_status,yes,CHINANET Yunnan province IDC1 ,China,无,无,arpanet.icu,1
atlascloud.ai,one-api-family,one-api,ai,C_framework+content,no,,,,,atlascloud.ai,1
atomflow.vip,one-api-family,new-api/one-api系,vip,A_api_status,no,,,,,atomflow.vip,1
autocontentapi.com,one-api-family,one-api,com,C_framework+content,no,,,,,autocontentapi.com,1
autorouter.io,one-api-family,new-api/one-api系,io,A_api_status,yes,Cloudflare,Canada,无,,autorouter.io,1
avoapi.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,avoapi.com,1
axisapi.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,axisapi.cn,1
azapi.com.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,azapi.com.cn,1
b.ai,unlabeled,,ai,,yes,Amazon.com,Singapore,无,,b.ai,1
b886.top,unlabeled,,top,,yes,,,无,,b886.top,2
baobu.xyz,unlabeled,"Cloudflare, Vue",xyz,,yes,Cloudflare,Canada,有,,baobu.xyz,1
baogutang.top,unlabeled,"Nginx, Vue",top,,yes,Bunny Communications,Japan,有,,baogutang.top,1
bazaarlink.ai,one-api-family,new-api,ai,C_framework+content,no,,,,,bazaarlink.ai,1
bbww.top,one-api-family,new-api/one-api系,top,A_api_status,yes,Cloudflare,Canada,,,bbww.top,2
bdshmmkj3.cn,one-api-family,new-api/one-api系,cn,A_api_status,no,,,,,bdshmmkj3.cn,5
bearlab.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,bearlab.ai,2
beecode.cc,unlabeled,"Cloudflare, Vue",cc,,yes,Cloudflare,Canada,有,,beecode.cc,1
beefapi.com,one-api-family,new-api/one-api系,com,A_api_status,yes,Cloudflare,Canada,无,,beefapi.com,1
bestswifter.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,bestswifter.com,1
bianxie.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,a8.hk,3
bianxieai.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,a8.hk,3
biyuan.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,biyuan.ai,1
bjxrouter.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,bjxrouter.com,2
bltcy.ai,one-api-family,new-api/one-api系,ai,A_api_status,no,,,,,bltcy.ai,2
bltcy.top,one-api-family,new-api/one-api系,top,A_api_status,no,,,,,bltcy.ai,2
bluesminds.com,one-api-family,new-api/one-api系,com,A_api_status,no,,,,,bluesminds.com,1
bobdong.cn,one-api-family,new-api/one-api系,cn,A_api_status,yes,Zhejiang Taobao Network Co.,United States,无,,bobdong.cn,1
bookapi.cc,one-api-family,new-api/one-api系,cc,A_api_status,no,,,,,bookapi.cc,1
bossclaw.org,unlabeled,"Cloudflare, Vue",org,,yes,Cloudflare,Canada,有,,bossclaw.org,1
