checked_at,domain,platform_name,source,input_url,normalized_url,app_stack_guess,app_family,confidence,status_class,version,infrastructure_signals,http_statuses,final_urls,evidence,probed_paths,errors
2026-07-13T19:39:14Z,724codes.com,,unlabeled_seed_domains,724codes.com,https://724codes.com,unknown,unknown,none,spa_shell,,,200|200|404|404|401|404,https://724codes.com/|https://724codes.com/login|https://724codes.com/api/status|https://724codes.com/api/pricing|https://724codes.com/v1/models|https://724codes.com/api/models,,/|/login|/api/status|/api/pricing|/v1/models|/api/models,https://724codes.com/api/status:HTTPError:404 ; https://724codes.com/api/pricing:HTTPError:404 ; https://724codes.com/v1/models:HTTPError:401
2026-07-13T19:39:15Z,ai-szzx.online,,unlabeled_seed_domains,ai-szzx.online,https://ai-szzx.online,unknown,unknown,none,unreachable,,,,,,/,https://ai-szzx.online/:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000)>
2026-07-13T19:39:45Z,aiapi.world,,unlabeled_seed_domains,aiapi.world,https://aiapi.world,unknown,unknown,none,unreachable,,,,,,/,"https://aiapi.world/:URLError:<urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-07-13T19:39:46Z,aiapis.io,,unlabeled_seed_domains,aiapis.io,https://aiapis.io,unknown,unknown,none,spa_shell,,cloudflare,200|200|404|404|401|404,https://aiapis.io/|https://aiapis.io/login|https://aiapis.io/api/status|https://aiapis.io/api/pricing|https://aiapis.io/v1/models|https://aiapis.io/api/models,cloudflare:header:server=cloudflare,/|/login|/api/status|/api/pricing|/v1/models|/api/models,https://aiapis.io/api/status:HTTPError:404 ; https://aiapis.io/api/pricing:HTTPError:404 ; https://aiapis.io/v1/models:HTTPError:401
2026-07-13T19:39:48Z,aibinghe.xyz,,unlabeled_seed_domains,aibinghe.xyz,https://aibinghe.xyz,unknown,unknown,none,unreachable,,,,,,/,https://aibinghe.xyz/:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)>
2026-07-13T19:39:56Z,aicodemirror.com,,unlabeled_seed_domains,aicodemirror.com,https://aicodemirror.com,unknown,unknown,none,unidentified,,cloudflare,200|200|404|200|404|404,https://www.aicodemirror.com/|https://www.aicodemirror.com/login|https://www.aicodemirror.com/api/status|https://www.aicodemirror.com/api/pricing|https://www.aicodemirror.com/v1/models|https://www.aicodemirror.com/api/models,cloudflare:header:server=cloudflare,/|/login|/api/status|/api/pricing|/v1/models|/api/models,https://aicodemirror.com/api/status:HTTPError:404 ; https://aicodemirror.com/v1/models:HTTPError:404 ; https://aicodemirror.com/api/models:HTTPError:404
2026-07-13T19:39:59Z,aieania.tech,,unlabeled_seed_domains,aieania.tech,https://aieania.tech,unknown,unknown,none,unidentified,,nginx,200|404|404|404|404|404,https://aieania.tech/|https://aieania.tech/login|https://aieania.tech/api/status|https://aieania.tech/api/pricing|https://aieania.tech/v1/models|https://aieania.tech/api/models,nginx:header:server=nginx/1.20.1,/|/login|/api/status|/api/pricing|/v1/models|/api/models,https://aieania.tech/login:HTTPError:404 ; https://aieania.tech/api/status:HTTPError:404 ; https://aieania.tech/api/pricing:HTTPError:404
2026-07-13T19:40:00Z,aigocode.com,,unlabeled_seed_domains,aigocode.com,https://aigocode.com,unknown,unknown,none,unidentified,,,200|404|404|404|404|404,https://www.aigocode.com/|https://www.aigocode.com/login|https://www.aigocode.com/api/status|https://www.aigocode.com/api/pricing|https://www.aigocode.com/v1/models|https://www.aigocode.com/api/models,,/|/login|/api/status|/api/pricing|/v1/models|/api/models,https://aigocode.com/login:HTTPError:404 ; https://aigocode.com/api/status:HTTPError:404 ; https://aigocode.com/api/pricing:HTTPError:404
2026-07-13T19:40:01Z,aijws.com,,unlabeled_seed_domains,aijws.com,https://aijws.com,unknown,unknown,none,unreachable,,,,,,/,"https://aijws.com/:URLError:<urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-07-13T19:40:31Z,aircode.xin,,unlabeled_seed_domains,aircode.xin,https://aircode.xin,unknown,unknown,none,unreachable,,,,,,/,"https://aircode.xin/:URLError:<urlopen error [Errno 8] nodename nor servname provided, or not known>"
